受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),エリアプライス四国(円/kWh)
2025/7/5,10,24005450,16981000,13784100,10.19
2025/7/5,11,24507500,16975800,14010100,9.81
2025/7/5,12,25543000,16890000,14330600,8.1
2025/7/5,13,27066700,17966050,14886900,7.7
2025/7/5,14,28424400,18733000,15736200,7.54
2025/7/5,15,29263350,20006750,16616700,7.37
2025/7/5,16,30364600,21290600,17112600,7.29
2025/7/5,17,30939900,22511350,18312500,7.37
2025/7/5,18,31810950,23783700,19179200,7.37
2025/7/5,19,32158000,24633650,19949900,7.39
2025/7/5,20,32910250,25710500,20575650,7.47
2025/7/5,21,33680750,26245050,21412200,7.54
2025/7/5,22,34338750,26454950,21827850,7.37
2025/7/5,23,34484300,26817100,22071900,7.37
2025/7/5,24,34445250,26952600,22137000,7.37
2025/7/5,25,34374550,26360700,22055900,7.37
2025/7/5,26,34106150,26453150,21950750,7.37
2025/7/5,27,33620550,26197250,21619400,7.06
2025/7/5,28,32961750,25849350,21563300,7.37
2025/7/5,29,30546650,24856150,21124800,7.4
2025/7/5,30,29801000,24164900,20712000,7.52
2025/7/5,31,28757300,23580000,20280550,7.54
2025/7/5,32,27145200,23492700,19454500,10.86
2025/7/5,33,26172200,23909050,19632150,12.66
2025/7/5,34,25100400,24010550,19246000,16.03
2025/7/5,35,23974550,23651650,18615900,16.47
2025/7/5,36,23221000,23542950,18338650,18.02
2025/7/5,37,22387300,22977050,17844050,19.72
2025/7/5,38,22430550,22959500,17441800,19.72
2025/7/5,39,23035600,22777650,17320850,19.72
2025/7/5,40,22227550,22523300,17363100,18.87
2025/7/5,41,22064450,21701750,16646700,16.87
2025/7/5,42,22120150,20931050,16085150,15.32
2025/7/5,43,21933050,20399750,15734450,15.02
2025/7/5,44,22092350,19899950,15384950,13.55
2025/7/5,45,21263800,19457500,14520750,14.24
2025/7/5,46,21621950,19043400,14200500,13.39
2025/7/5,47,21282200,18297600,13724400,13
2025/7/5,48,21198050,17592400,13798800,11.67
2025/7/6,1,22155450,17394700,13540200,11.77
2025/7/6,2,23391750,17140500,13564900,11.09
2025/7/6,3,24159850,16825150,13628800,10.19
2025/7/6,4,24745450,16509100,13709350,8.49
2025/7/6,5,25179700,16324450,13658100,8.12
2025/7/6,6,25264100,16241700,13550700,8.12
2025/7/6,7,25774100,16313400,13640700,8.1
2025/7/6,8,25728600,16279150,13607200,8
2025/7/6,9,25925650,16300900,13681400,8
2025/7/6,10,26039750,16236350,13625150,8.5
2025/7/6,11,26553700,16356900,13897200,8.01
2025/7/6,12,27545450,16351000,14074600,7.54
2025/7/6,13,29356200,16286450,14492750,7.7
2025/7/6,14,30873650,17022850,15507050,8.01
2025/7/6,15,32515000,18188950,16430750,7.37
2025/7/6,16,33736700,19345200,17059150,7.37
2025/7/6,17,34763900,20473400,18023100,7.14
2025/7/6,18,35563250,21512200,18911100,7.14
2025/7/6,19,35955850,22488750,19984500,7.37
2025/7/6,20,36181500,23549300,20849150,7.37
2025/7/6,21,36252750,24417650,21474300,7.39
2025/7/6,22,36676200,24700300,21760700,7.37
2025/7/6,23,36463400,25492300,22203550,7.37
2025/7/6,24,36155950,25576300,22170600,7.29
2025/7/6,25,35650850,25473200,22291550,7.37
2025/7/6,26,35229850,25690750,22256500,7.37
2025/7/6,27,34657850,25034600,21696150,6.93
2025/7/6,28,33804000,24403300,21126050,7.04
2025/7/6,29,32746100,23963450,20906850,6.99
2025/7/6,30,31837900,23361450,20525450,7.37
2025/7/6,31,29408850,22046850,19908150,7.54
2025/7/6,32,27816800,21997450,19303600,9.09
2025/7/6,33,27584350,22765700,19461950,11.3
2025/7/6,34,25625650,23379050,18592350,13.04
2025/7/6,35,23881000,23431000,18245000,15.99
2025/7/6,36,23950250,23858150,18514750,18
2025/7/6,37,24085300,23788800,18340000,18.7
2025/7/6,38,23523400,23845250,17723900,19.66
2025/7/6,39,23253600,23633250,17549100,19.66
2025/7/6,40,23536050,23293100,17673950,19.66
2025/7/6,41,22025250,22909700,17005100,19.66
2025/7/6,42,22449700,22255700,16864850,18
2025/7/6,43,22406250,21240000,16181100,16.74
2025/7/6,44,23197800,20780550,15905350,15.83
2025/7/6,45,22758500,19590350,14696200,14.02
2025/7/6,46,22983250,19078450,14253450,13.08
2025/7/6,47,22624800,17997850,13769800,11.79
2025/7/6,48,22751200,16968600,13894950,10.81
2025/7/7,1,21962200,17128250,14537200,10.19
2025/7/7,2,23685100,17174600,14665050,9
2025/7/7,3,24237850,16622200,14505100,7.93
2025/7/7,4,24718150,16564450,14500550,7.7
2025/7/7,5,25082500,16301950,14512100,7.7
2025/7/7,6,25025950,16237050,14458600,7.7
2025/7/7,7,25107050,16045100,14370450,7.7
2025/7/7,8,24895900,16046300,14354150,7.7
2025/7/7,9,24615850,15893400,14188800,7.6
2025/7/7,10,24419950,16033150,14164700,7.7
2025/7/7,11,24425150,16177000,14336050,7.7
2025/7/7,12,24847400,16816800,14837450,7.7
2025/7/7,13,25481100,18051900,15723000,7.7
2025/7/7,14,25984750,19201450,16496450,7.54
2025/7/7,15,26348150,20581200,17489200,7.7
2025/7/7,16,26434550,21784100,18856950,8.73
2025/7/7,17,26928500,23554050,20592500,8.12
2025/7/7,18,26670350,25464800,21572750,10.81
2025/7/7,19,27216050,26275750,22242450,8.12
2025/7/7,20,27799100,27247750,22727050,7.7
2025/7/7,21,28816600,28154600,23557150,11.74
2025/7/7,22,29185550,28751800,23843150,8.12
2025/7/7,23,30348850,29582400,24613400,8.12
2025/7/7,24,30550300,30053150,24915800,7.7
2025/7/7,25,30485600,29407200,24472850,7.4
2025/7/7,26,30068700,29759900,24538050,7.54
2025/7/7,27,29505700,30208150,24924450,7.7
2025/7/7,28,28628800,30843800,24593100,8.12
2025/7/7,29,28065300,31367100,24273550,8
2025/7/7,30,27275550,31568750,23900800,12.38
2025/7/7,31,26389950,30905650,23453550,13.28
2025/7/7,32,25623800,31489500,22818750,18.02
2025/7/7,33,24505450,31242850,22281300,20.02
2025/7/7,34,23526750,31503050,21648350,21.27
2025/7/7,35,22845700,30297250,21063200,21.27
2025/7/7,36,21812250,30066550,20419900,34.68
2025/7/7,37,20830550,29126650,19591200,35
2025/7/7,38,20501150,28869600,19022300,35
2025/7/7,39,20559950,28131750,19053500,25
2025/7/7,40,20901500,27287050,19295050,22.89
2025/7/7,41,20326100,25772850,18709550,21.44
2025/7/7,42,20413000,25156450,18471650,20.92
2025/7/7,43,20380750,24148900,18410500,21.52
2025/7/7,44,20611400,22994850,18058550,20
2025/7/7,45,20660700,22082150,17533800,16.53
2025/7/7,46,20741550,21048300,16458950,14.54
2025/7/7,47,20504050,20280750,15858700,12.56
2025/7/7,48,20257300,18670350,15536200,11.39
2025/7/8,1,20405450,18964700,14256000,13.45
2025/7/8,2,21114350,19004700,14270700,11.9
2025/7/8,3,21990100,18518750,14356850,11.69
2025/7/8,4,22421050,18802350,14347500,11.67
2025/7/8,5,22917850,18531350,14283700,11.47
2025/7/8,6,22777250,18732250,14180300,11.65
2025/7/8,7,23030100,18896500,14331200,11.69
2025/7/8,8,22840100,18913200,14331600,11.69
2025/7/8,9,22807400,18590350,14201500,11.67
2025/7/8,10,22604900,18801750,14265500,11.78
2025/7/8,11,22758300,18918550,14460650,11.71
2025/7/8,12,23204000,19157650,14777200,11.55
2025/7/8,13,23937600,20415600,15214450,11.7
2025/7/8,14,24296100,21323450,15987300,11.62
2025/7/8,15,24272100,22161650,16769600,11.65
2025/7/8,16,25035700,23432650,17756950,12.09
2025/7/8,17,26403000,24109200,19554150,11.93
2025/7/8,18,27312950,25633500,20746800,12.61
2025/7/8,19,28441600,26931350,22011150,12.38
2025/7/8,20,29087650,27795500,22843450,8.8
2025/7/8,21,30254050,28405950,23524500,7.64
2025/7/8,22,30599550,28737200,23848400,7.64
2025/7/8,23,30715800,29293500,24287650,7.64
2025/7/8,24,30726450,29685800,24433750,7.64
2025/7/8,25,30584200,29089000,23943600,7.64
2025/7/8,26,30136400,28907550,23788300,7.64
2025/7/8,27,29207050,29670050,24195400,12.5
2025/7/8,28,28570200,29948700,23993550,14.02
2025/7/8,29,27964450,29590950,23681100,16.37
2025/7/8,30,27309700,29583000,23059250,18
2025/7/8,31,26255500,29302650,22625050,19.33
2025/7/8,32,25499250,29543950,22077250,19.5
2025/7/8,33,25095900,29406750,21795650,20.92
2025/7/8,34,23819950,29319200,21077400,24.11
2025/7/8,35,23099850,28659450,20574600,24.11
2025/7/8,36,22045000,28152550,19821900,25.46
2025/7/8,37,21813650,27352600,19279650,24.81
2025/7/8,38,21720650,27014200,18890950,35
2025/7/8,39,21448800,26743050,18632550,30
2025/7/8,40,21818300,26122200,18352700,20.55
2025/7/8,41,21353200,24479800,18215550,24.11
2025/7/8,42,21398600,23596650,18051950,20.62
2025/7/8,43,21390950,22480050,17767900,19.5
2025/7/8,44,21189000,22065150,17264500,17.75
2025/7/8,45,20846550,21132250,16412300,17.46
2025/7/8,46,20916350,20248800,15666850,15.65
2025/7/8,47,20811300,19871650,15303200,14.02
2025/7/8,48,20974850,18890450,14737700,12.07
2025/7/9,1,20757950,18894000,14287200,12.5
2025/7/9,2,21704300,18671550,14370850,11.74
2025/7/9,3,22279850,18770800,14364500,11.74
2025/7/9,4,22632650,18837300,14261050,11.67
2025/7/9,5,22863900,18585050,14286150,11.51
2025/7/9,6,22945750,18312100,14291400,11.32
2025/7/9,7,23166500,18289700,14460650,11.09
2025/7/9,8,22963850,18235250,14418900,10.57
2025/7/9,9,22727100,17993700,14246850,10.54
2025/7/9,10,22670000,18079700,14149200,11.22
2025/7/9,11,23014650,18272300,14517400,10.68
2025/7/9,12,23545250,18575850,14924050,10.75
2025/7/9,13,24402350,19370550,15539700,10.44
2025/7/9,14,25141050,20228050,16441350,9.87
2025/7/9,15,25910200,21252700,17333650,9.55
2025/7/9,16,26665600,22478700,18462800,10.31
2025/7/9,17,27742000,24201300,20181950,11.74
2025/7/9,18,28402800,25222300,21002650,12.01
2025/7/9,19,28581950,27000250,21796300,13.95
2025/7/9,20,29029250,28573100,22469100,14.02
2025/7/9,21,29754450,29398700,23111950,12.65
2025/7/9,22,30048750,29894950,23585100,12.38
2025/7/9,23,30762600,30645900,24071950,12
2025/7/9,24,31248500,30800650,24296750,10.86
2025/7/9,25,31425250,29535800,23744900,7.64
2025/7/9,26,31320900,28893200,23593850,7.4
2025/7/9,27,30934150,30317250,24401500,8.12
2025/7/9,28,30243500,30685950,24257200,11.75
2025/7/9,29,29574700,30319050,23851050,12.94
2025/7/9,30,28566700,30310600,23485950,13.24
2025/7/9,31,27856300,30163500,22955800,13.96
2025/7/9,32,27366050,30008600,22488800,17.78
2025/7/9,33,26919050,29476050,22163050,18.49
2025/7/9,34,26042850,29324750,21649450,20
2025/7/9,35,25226150,28618000,20930900,20
2025/7/9,36,24170300,28186950,20284750,20.51
2025/7/9,37,23487450,27321150,19803150,20.51
2025/7/9,38,22954000,27113300,19397750,23.62
2025/7/9,39,22613800,27099850,18966400,20.89
2025/7/9,40,22654750,26584250,18925500,20.51
2025/7/9,41,22286450,25465700,18592600,20.51
2025/7/9,42,22303900,24702200,18468750,19.32
2025/7/9,43,21973850,23502550,18197500,19.32
2025/7/9,44,22340500,22426450,17774000,17.41
2025/7/9,45,22095050,22003250,17196700,15.95
2025/7/9,46,21982200,21438350,16516750,15.73
2025/7/9,47,21465050,20829200,15932150,15.7
2025/7/9,48,21310250,19607450,15078800,12.65
2025/7/10,1,19531250,18939900,14203800,13
2025/7/10,2,21160300,18966100,14309900,12.47
2025/7/10,3,22506400,20020700,14623250,12.65
2025/7/10,4,23333400,19972000,14809300,12.15
2025/7/10,5,23794650,19770200,14966800,11.67
2025/7/10,6,23908500,19756350,14873700,11.67
2025/7/10,7,23958850,19902700,14898750,12.5
2025/7/10,8,23881950,19954950,14821650,12.49
2025/7/10,9,23989550,19582300,14609800,12.09
2025/7/10,10,24095500,19564450,14515750,12.09
2025/7/10,11,24155150,19788550,14685550,12.54
2025/7/10,12,24922900,20110350,15177700,12.13
2025/7/10,13,25581450,21073600,15820200,11.67
2025/7/10,14,26135450,21867700,16653150,10.81
2025/7/10,15,27068600,22863800,17554200,10.47
2025/7/10,16,27002900,23632050,18235950,10.81
2025/7/10,17,27479450,23975300,19527450,11.74
2025/7/10,18,27703250,25349700,20364500,12.5
2025/7/10,19,28591500,26587850,21375750,12.63
2025/7/10,20,29156250,27400600,22035950,12.38
2025/7/10,21,29990300,27840150,22422450,11.75
2025/7/10,22,30116950,28384050,22848550,10.31
2025/7/10,23,30223150,29240850,23381150,10.37
2025/7/10,24,30272750,29752300,23799100,7.83
2025/7/10,25,30269450,28401900,22889950,7.34
2025/7/10,26,29794950,28355850,22814450,7.05
2025/7/10,27,29067550,29106650,23412400,7.83
2025/7/10,28,28573800,29175400,22949700,7.6
2025/7/10,29,28276600,29362750,22596350,12.38
2025/7/10,30,27505850,29127650,22240800,14.02
2025/7/10,31,27178000,27921250,21847350,15.32
2025/7/10,32,26528900,28273350,21728250,17.68
2025/7/10,33,25782600,28138950,21312600,18.72
2025/7/10,34,25076700,27876850,20978400,20
2025/7/10,35,24498950,26864500,20406600,19.57
2025/7/10,36,23518800,26454750,19926350,20.13
2025/7/10,37,23096500,25809000,19660100,20.92
2025/7/10,38,23082200,25267200,19359750,24.49
2025/7/10,39,22874150,25041950,19160200,20.78
2025/7/10,40,23438500,24189750,18728750,18.96
2025/7/10,41,23178050,23520450,18051700,19.31
2025/7/10,42,22988850,22837300,17594350,17.84
2025/7/10,43,22814150,21835300,17088900,16.45
2025/7/10,44,22732950,21201500,16636100,16
2025/7/10,45,22391000,21281250,16431600,15.87
2025/7/10,46,22456700,20458700,15734350,13.96
2025/7/10,47,22150500,19888900,15460100,12.47
2025/7/10,48,21751550,18862000,15262800,11.39
2025/7/11,1,23838000,18820100,14690450,11.08
2025/7/11,2,24541800,18839000,14505500,11.13
2025/7/11,3,24800050,18931250,14679200,11.1
2025/7/11,4,25053550,18929200,14623600,11
2025/7/11,5,25124850,18777000,14622600,10.85
2025/7/11,6,25171200,18650700,14549300,10.85
2025/7/11,7,25725400,18752550,14802800,10.71
2025/7/11,8,25654600,18555900,14734450,10.71
2025/7/11,9,25547600,18030500,14484900,10.65
2025/7/11,10,25655850,18201750,14401950,10.69
2025/7/11,11,25624800,18214950,14485700,10.54
2025/7/11,12,26223650,18527700,14916000,10.47
2025/7/11,13,26759550,19755800,15127700,10.55
2025/7/11,14,27396450,20570900,15786900,10.5
2025/7/11,15,28172300,21581500,16419150,10.5
2025/7/11,16,28772950,22462200,17147700,10.67
2025/7/11,17,28929300,23443200,18413050,10.91
2025/7/11,18,28459200,24984000,19201850,12.1
2025/7/11,19,28325100,25632200,19794900,12.44
2025/7/11,20,28790750,26226950,20356250,12.09
2025/7/11,21,29551950,26832200,21235350,11.7
2025/7/11,22,29863000,27195450,21559150,11.7
2025/7/11,23,30042850,27277650,21779600,11.67
2025/7/11,24,30253300,27120250,21937400,11.56
2025/7/11,25,31160450,26488500,22093250,10.97
2025/7/11,26,30854600,26190500,21902550,10.81
2025/7/11,27,30616600,26334650,21752250,11.38
2025/7/11,28,30237750,26602350,21406700,11.96
2025/7/11,29,29937500,26342300,21192750,12.37
2025/7/11,30,29368350,25616200,20804550,11.88
2025/7/11,31,29067500,25124350,20610600,13.32
2025/7/11,32,30357450,25232300,20396550,15.32
2025/7/11,33,29617550,25386750,20081700,16.43
2025/7/11,34,28801500,25094350,19657450,17.88
2025/7/11,35,28247600,24422550,19121850,17
2025/7/11,36,27607800,23765900,18444200,17.9
2025/7/11,37,26811000,23213000,17968300,18
2025/7/11,38,26722150,23100750,17768150,17.98
2025/7/11,39,26770650,22789250,17558250,16.74
2025/7/11,40,25032450,22604150,17227350,16.43
2025/7/11,41,24506350,21663750,16414250,16.43
2025/7/11,42,24804350,21045650,16102500,14.02
2025/7/11,43,25039300,20514800,15998650,13.96
2025/7/11,44,25396900,20052800,15898700,12.65
2025/7/11,45,25507550,20702150,15890300,13.95
2025/7/11,46,25683350,20020750,15475000,12.34
2025/7/11,47,25377750,19684450,15292950,12.08
2025/7/11,48,24818200,18662500,14818800,10.97
2025/7/12,1,24604650,18209700,14358350,11.5
2025/7/12,2,25998550,18581800,14626400,11.49
2025/7/12,3,26632600,18475700,14703800,10.98
2025/7/12,4,27223800,18186400,14742550,10.57
2025/7/12,5,27797250,17975550,14702000,10.24
2025/7/12,6,27717650,17915550,14639050,10.24
2025/7/12,7,27515700,17834450,14526500,10.44
2025/7/12,8,27399100,17782250,14495200,10.5
2025/7/12,9,27591850,17916550,14591100,10.57
2025/7/12,10,27839750,18027650,14638300,10.66
2025/7/12,11,28160700,18113950,14872900,10.4
2025/7/12,12,29208250,18132900,15112900,9.58
2025/7/12,13,31133200,18504200,15930950,9.58
2025/7/12,14,32810950,19039700,16816600,9.43
2025/7/12,15,34109850,19963000,17400350,8.5
2025/7/12,16,34966500,20943200,18071500,7.96
2025/7/12,17,36203850,21956700,18634350,7.88
2025/7/12,18,37213100,23254500,19821700,8
2025/7/12,19,37692200,23975250,20589150,7.06
2025/7/12,20,38178200,24696600,21155850,6.93
2025/7/12,21,38835750,24756950,21421250,6.87
2025/7/12,22,39375700,24610550,21615400,6.83
2025/7/12,23,38480050,24234900,21867900,6.84
2025/7/12,24,38607250,24552350,22199850,6.85
2025/7/12,25,38606150,24278150,22031300,6.88
2025/7/12,26,38432100,23970050,21684700,6.88
2025/7/12,27,37739700,23982500,21625150,6.89
2025/7/12,28,37087400,24152200,21314100,6.89
2025/7/12,29,36098350,24130800,21368450,6.93
2025/7/12,30,35502800,23366150,20776200,7.45
2025/7/12,31,34247350,22711800,20278150,7.64
2025/7/12,32,32369900,22747000,19574250,10.39
2025/7/12,33,31589200,22723300,19279250,10.85
2025/7/12,34,30278650,22951800,18632800,11.67
2025/7/12,35,29159350,22789450,18144800,12.77
2025/7/12,36,28242350,22614900,17789700,13.53
2025/7/12,37,27668850,22598350,17520800,14.22
2025/7/12,38,27631500,22447300,17206100,14.62
2025/7/12,39,28599450,22347750,16869500,15.34
2025/7/12,40,27338400,22115650,16607850,15.17
2025/7/12,41,27114350,21675700,16357100,14.63
2025/7/12,42,27158550,21115600,16167300,13.63
2025/7/12,43,27108100,20514750,15768200,13.84
2025/7/12,44,27619150,20269750,15355550,12.58
2025/7/12,45,26604500,19629000,14591550,11.93
2025/7/12,46,26802400,18967450,14554200,11.42
2025/7/12,47,26006050,18334250,14442700,11.15
2025/7/12,48,25804400,17342250,14526400,10.06
2025/7/13,1,25369700,16917400,14491950,9.41
2025/7/13,2,26766050,17038000,14317600,9.79
2025/7/13,3,28571800,16768400,14621450,8.87
2025/7/13,4,28697450,16787350,14571650,9.18
2025/7/13,5,29200250,16887750,14389050,9.43
2025/7/13,6,29475800,16966250,14519400,9.43
2025/7/13,7,29599750,16748150,14784150,9
2025/7/13,8,29651850,16712800,14880150,8.78
2025/7/13,9,29785950,16754550,14668350,9.18
2025/7/13,10,29809250,16781350,14659700,9.43
2025/7/13,11,30137050,17146150,14881900,9.18
2025/7/13,12,30964800,17302200,15294900,8.8
2025/7/13,13,33194800,18852350,16798500,8.23
2025/7/13,14,34846650,19469450,17539800,7.42
2025/7/13,15,36235450,20216500,18199450,7
2025/7/13,16,37306000,21286150,18961150,6.93
2025/7/13,17,38151200,22710850,20066900,7.14
2025/7/13,18,39082200,23157100,20584950,7.14
2025/7/13,19,39598500,23851650,21430600,7
2025/7/13,20,40064600,24542950,21914350,6.82
2025/7/13,21,40521100,24967600,22351700,7.14
2025/7/13,22,40897100,25030650,22598400,6.59
2025/7/13,23,40514650,24883150,22668050,6
2025/7/13,24,40227000,25063950,22780650,5.9
2025/7/13,25,39037200,24241900,21853750,6.06
2025/7/13,26,39028550,24195500,21697300,6.57
2025/7/13,27,38567900,24285250,21570000,6.77
2025/7/13,28,38042100,24440100,21223150,6.89
2025/7/13,29,36665200,24437350,21235300,6.58
2025/7/13,30,35202500,24195750,20580350,6.92
2025/7/13,31,33226300,23478650,20452950,6.93
2025/7/13,32,31289400,23235800,19574500,6.88
2025/7/13,33,30240800,22942000,19455000,7
2025/7/13,34,28217200,22831000,18621800,11.71
2025/7/13,35,27070100,22708950,17723600,11.89
2025/7/13,36,25883200,23238450,17822300,14.24
2025/7/13,37,25353400,22872000,17254500,16
2025/7/13,38,25355400,22993450,17332050,16.18
2025/7/13,39,25359000,22658000,17034700,16.02
2025/7/13,40,25473650,22376050,16833800,15.17
2025/7/13,41,25618800,21870000,16504750,14.02
2025/7/13,42,25444450,21483050,16075550,13.51
2025/7/13,43,25943800,21304200,15705950,13.01
2025/7/13,44,26262400,21006000,15554350,12.17
2025/7/13,45,26349750,20816800,15525300,12.58
2025/7/13,46,26397350,19995450,14973950,10.66
2025/7/13,47,26078750,19403650,14794150,10.13
2025/7/13,48,26049150,18466900,14945300,9.08
2025/7/14,1,25747450,16987900,14549600,8.12
2025/7/14,2,27688650,16922900,14478500,8.12
2025/7/14,3,28438100,16839600,14418350,7.77
2025/7/14,4,28823400,16795050,14433750,7.64
2025/7/14,5,28888600,17088100,14352250,8.12
2025/7/14,6,28793150,17403150,14252850,9.08
2025/7/14,7,28874150,17574550,14560150,9.04
2025/7/14,8,28899450,17468550,14598200,9.17
2025/7/14,9,28881850,17191900,14412500,8
2025/7/14,10,28993650,17281750,14499600,8.12
2025/7/14,11,28889300,17456300,14723750,8.4
2025/7/14,12,29503300,17767600,15158950,8.12
2025/7/14,13,30191850,18395950,15858150,8.12
2025/7/14,14,30296400,19104700,16535250,8.12
2025/7/14,15,30559350,19951350,17041500,8.12
2025/7/14,16,29926100,21016550,17777050,7.8
2025/7/14,17,28821700,23311450,19362600,9.79
2025/7/14,18,27803500,25031850,19967100,11.39
2025/7/14,19,27186000,25974600,20335300,11.98
2025/7/14,20,27184350,26479450,20798900,12.17
2025/7/14,21,27950350,27008350,21496350,12.16
2025/7/14,22,28190300,27370750,21794600,12.18
2025/7/14,23,28250400,27617900,21927300,12.16
2025/7/14,24,28438300,27661750,21952450,11.42
2025/7/14,25,29354800,26854300,21768500,7.45
2025/7/14,26,29419950,26654000,21711300,7.45
2025/7/14,27,28873350,26945100,21569850,11.84
2025/7/14,28,28847900,27376550,21756850,12.16
2025/7/14,29,28660450,26554750,21283850,12.16
2025/7/14,30,27881000,26195600,21189000,12.16
